inc,edu,lan
"[20,30)",C<=3,eng
"[30,50)",graduate,eng
"[30,50)",graduate,eng
"[20,30)",C<=3,eng
"[20,30)",C<=3,eng
"[20,30)",graduate,eng
"[20,30)",HSG,eng
"[0,10)",C<=3,eng
"[10,20)",HSG,eng
"[20,30)",CG,eng
"[0,10)",CG,eng
"[0,10)",C<=3,eng
"[20,30)",graduate,eng
"[20,30)",C<=3,eng
"[10,20)",HSG,other
"[10,20)",CG,eng
"[30,50)",graduate,eng
"[50,75)",graduate,eng
"[50,75)",C<=3,eng
75+,CG,eng
"[50,75)",CG,eng
"[10,20)",CG,eng
"[20,30)",graduate,eng
"[30,50)",C<=3,eng
"[10,20)",C<=3,eng
"[0,10)",grade<=11,eng
"[0,10)",grade<=11,eng
"[0,10)",HSG,eng
"[20,30)",CG,eng
"[10,20)",C<=3,eng
"[30,50)",CG,span
"[0,10)",C<=3,eng
"[10,20)",CG,eng
"[10,20)",C<=3,span
"[30,50)",C<=3,eng
"[0,10)",HSG,span
"[30,50)",C<=3,eng
75+,C<=3,eng
75+,CG,eng
"[50,75)",C<=3,eng
"[50,75)",graduate,eng
"[0,10)",grade<=11,eng
"[50,75)",graduate,eng
"[50,75)",CG,eng
"[50,75)",C<=3,other
"[50,75)",C<=3,eng
"[10,20)",C<=3,eng
"[20,30)",CG,eng
"[0,10)",C<=3,eng
"[20,30)",C<=3,eng
"[0,10)",HSG,eng
"[10,20)",C<=3,eng
"[10,20)",C<=3,eng
"[0,10)",C<=3,eng
"[10,20)",C<=3,eng
"[10,20)",grade<=11,eng
"[30,50)",CG,eng
"[10,20)",C<=3,eng
"[10,20)",graduate,eng
"[0,10)",grade<=11,eng
"[20,30)",HSG,eng
"[10,20)",C<=3,eng
"[0,10)",C<=3,eng
"[0,10)",CG,eng
"[10,20)",CG,eng
"[20,30)",CG,eng
"[20,30)",C<=3,eng
"[20,30)",C<=3,eng
"[20,30)",C<=3,eng
"[20,30)",graduate,eng
"[20,30)",CG,eng
"[10,20)",C<=3,eng
"[10,20)",C<=3,eng
"[30,50)",C<=3,eng
"[30,50)",graduate,eng
"[20,30)",graduate,eng
"[0,10)",CG,eng
"[10,20)",graduate,eng
"[20,30)",C<=3,eng
"[30,50)",CG,eng
"[0,10)",CG,eng
"[20,30)",C<=3,eng
"[0,10)",CG,eng
"[20,30)",C<=3,eng
"[20,30)",C<=3,eng
"[20,30)",C<=3,eng
"[20,30)",C<=3,eng
"[20,30)",HSG,eng
"[50,75)",HSG,eng
"[50,75)",CG,eng
"[0,10)",C<=3,eng
"[10,20)",CG,eng
"[0,10)",HSG,eng
"[10,20)",C<=3,eng
"[20,30)",CG,eng
"[10,20)",HSG,eng
"[30,50)",C<=3,eng
"[20,30)",HSG,eng
"[10,20)",CG,eng
"[30,50)",HSG,eng
"[10,20)",C<=3,eng
"[20,30)",HSG,eng
"[30,50)",CG,eng
"[20,30)",C<=3,eng
"[30,50)",HSG,eng
"[10,20)",CG,eng
"[50,75)",C<=3,eng
"[20,30)",CG,eng
"[30,50)",C<=3,eng
"[30,50)",C<=3,eng
"[30,50)",C<=3,eng
"[10,20)",C<=3,eng
"[30,50)",C<=3,span
"[0,10)",grade<=11,eng
"[0,10)",HSG,eng
"[20,30)",HSG,eng
"[30,50)",grade<=11,eng
"[20,30)",C<=3,eng
"[10,20)",C<=3,eng
"[0,10)",HSG,eng
"[10,20)",C<=3,eng
"[0,10)",grade<=11,eng
"[20,30)",HSG,other
"[30,50)",C<=3,eng
"[20,30)",HSG,eng
"[0,10)",C<=3,span
"[10,20)",HSG,eng
"[20,30)",C<=3,eng
"[20,30)",HSG,eng
"[0,10)",grade<=11,eng
"[30,50)",C<=3,other
"[0,10)",grade<=11,eng
"[30,50)",grade<=11,eng
"[0,10)",grade<=11,eng
"[10,20)",HSG,eng
"[0,10)",grade<=11,eng
"[0,10)",grade<=11,eng
"[0,10)",grade<=11,eng
"[30,50)",C<=3,eng
"[0,10)",grade<=11,eng
"[0,10)",grade<=11,eng
"[0,10)",grade<=11,eng
"[10,20)",C<=3,eng
"[30,50)",HSG,eng
"[30,50)",C<=3,eng
"[30,50)",C<=3,eng
"[30,50)",C<=3,eng
"[10,20)",C<=3,eng
"[30,50)",C<=3,eng
"[0,10)",HSG,eng
"[0,10)",grade<=11,eng
"[10,20)",C<=3,eng
"[10,20)",grade<=11,eng
"[20,30)",C<=3,eng
"[0,10)",CG,span
"[50,75)",C<=3,eng
"[50,75)",grade<=11,eng
"[50,75)",C<=3,eng
"[50,75)",CG,eng
"[50,75)",CG,eng
"[10,20)",HSG,eng
"[30,50)",C<=3,eng
"[10,20)",HSG,eng
"[10,20)",grade<=11,eng
"[0,10)",graduate,eng
"[50,75)",CG,eng
"[0,10)",HSG,eng
"[50,75)",CG,eng
"[10,20)",HSG,eng
"[30,50)",C<=3,eng
"[50,75)",CG,eng
"[50,75)",CG,eng
"[50,75)",CG,eng
"[50,75)",CG,eng
"[30,50)",HSG,eng
"[10,20)",CG,eng
"[50,75)",HSG,eng
"[50,75)",HSG,span
"[50,75)",HSG,eng
"[50,75)",CG,span
"[50,75)",C<=3,eng
"[50,75)",HSG,eng
"[50,75)",C<=3,eng
"[50,75)",grade<=11,eng
"[10,20)",C<=3,eng
"[30,50)",HSG,eng
"[10,20)",HSG,eng
"[0,10)",HSG,eng
"[20,30)",HSG,eng
"[10,20)",HSG,eng
"[10,20)",C<=3,eng
"[0,10)",HSG,eng
"[0,10)",grade<=11,eng
"[20,30)",C<=3,eng
"[10,20)",HSG,eng
"[20,30)",C<=3,eng
"[0,10)",grade<=11,eng
"[30,50)",HSG,eng
"[30,50)",C<=3,eng
"[10,20)",C<=3,eng
"[0,10)",HSG,eng
"[10,20)",HSG,eng
"[0,10)",grade<=11,eng
"[20,30)",CG,eng
"[0,10)",HSG,eng
"[0,10)",HSG,eng
"[10,20)",HSG,span
"[0,10)",C<=3,eng
"[0,10)",grade<=11,eng
75+,graduate,eng
"[50,75)",C<=3,span
"[50,75)",C<=3,eng
"[50,75)",CG,eng
"[50,75)",CG,eng
"[0,10)",grade<=11,eng
"[50,75)",CG,eng
"[50,75)",CG,eng
"[10,20)",CG,eng
"[0,10)",HSG,eng
"[10,20)",HSG,eng
"[0,10)",grade<=11,eng
"[10,20)",CG,eng
"[50,75)",C<=3,eng
"[50,75)",C<=3,eng
75+,HSG,eng
"[20,30)",C<=3,eng
"[30,50)",CG,eng
"[30,50)",HSG,eng
"[20,30)",CG,eng
"[20,30)",CG,eng
"[20,30)",HSG,eng
"[30,50)",CG,eng
"[30,50)",HSG,eng
"[30,50)",HSG,eng
"[10,20)",HSG,eng
"[0,10)",grade<=11,span
"[10,20)",HSG,eng
"[20,30)",CG,eng
"[10,20)",HSG,eng
"[50,75)",C<=3,eng
"[20,30)",C<=3,eng
"[30,50)",C<=3,eng
"[30,50)",grade<=11,eng
"[30,50)",graduate,eng
"[10,20)",C<=3,span
"[10,20)",HSG,eng
"[10,20)",grade<=11,span
"[50,75)",HSG,eng
"[50,75)",C<=3,eng
"[50,75)",grade<=11,eng
"[20,30)",C<=3,eng
"[0,10)",C<=3,eng
"[10,20)",C<=3,eng
"[30,50)",graduate,eng
"[0,10)",C<=3,eng
"[20,30)",HSG,eng
"[30,50)",C<=3,eng
"[30,50)",C<=3,eng
"[30,50)",graduate,eng
"[0,10)",grade<=11,eng
"[10,20)",HSG,eng
"[30,50)",C<=3,span
"[0,10)",C<=3,eng
"[30,50)",CG,eng
"[30,50)",CG,eng
"[30,50)",HSG,eng
"[0,10)",C<=3,eng
"[50,75)",C<=3,eng
75+,C<=3,eng
"[20,30)",CG,eng
"[0,10)",C<=3,eng
"[10,20)",C<=3,eng
"[50,75)",HSG,eng
"[30,50)",CG,eng
"[30,50)",C<=3,eng
"[30,50)",C<=3,eng
"[50,75)",CG,eng
"[20,30)",HSG,eng
"[20,30)",grade<=11,eng
"[50,75)",CG,eng
"[20,30)",HSG,eng
"[20,30)",C<=3,eng
"[50,75)",C<=3,eng
"[20,30)",CG,eng
"[20,30)",HSG,eng
"[20,30)",C<=3,eng
"[10,20)",C<=3,eng
"[10,20)",HSG,eng
"[20,30)",HSG,eng
"[30,50)",grade<=11,eng
"[30,50)",HSG,eng
"[50,75)",C<=3,span
"[0,10)",grade<=11,span
"[30,50)",C<=3,eng
"[0,10)",HSG,eng
"[0,10)",grade<=11,eng
"[10,20)",CG,eng
"[20,30)",CG,eng
"[10,20)",HSG,eng
"[30,50)",HSG,eng
"[20,30)",C<=3,eng
"[20,30)",HSG,eng
75+,CG,eng
"[0,10)",C<=3,other
"[0,10)",HSG,eng
"[0,10)",C<=3,span
"[10,20)",HSG,eng
"[20,30)",C<=3,eng
"[0,10)",HSG,eng
"[10,20)",CG,eng
"[0,10)",C<=3,eng
"[30,50)",C<=3,eng
"[30,50)",HSG,eng
"[20,30)",C<=3,eng
"[20,30)",C<=3,span
"[0,10)",C<=3,eng
"[50,75)",graduate,eng
75+,C<=3,eng
75+,C<=3,eng
75+,HSG,eng
"[10,20)",HSG,eng
"[10,20)",HSG,eng
"[50,75)",CG,eng
"[0,10)",grade<=11,eng
"[10,20)",C<=3,other
"[10,20)",CG,other
"[30,50)",graduate,eng
"[0,10)",HSG,eng
"[30,50)",CG,eng
"[30,50)",C<=3,eng
"[0,10)",HSG,eng
"[20,30)",HSG,eng
"[20,30)",HSG,eng
"[20,30)",HSG,eng
"[0,10)",HSG,eng
"[0,10)",grade<=11,eng
"[10,20)",HSG,eng
"[10,20)",C<=3,eng
"[30,50)",C<=3,eng
"[0,10)",C<=3,eng
"[0,10)",C<=3,eng
"[0,10)",C<=3,eng
"[20,30)",HSG,eng
"[0,10)",graduate,eng
"[0,10)",grade<=11,eng
"[0,10)",HSG,eng
"[20,30)",C<=3,eng
"[20,30)",HSG,eng
"[20,30)",CG,eng
"[50,75)",HSG,eng
"[10,20)",C<=3,eng
"[0,10)",grade<=11,eng
"[10,20)",C<=3,eng
"[0,10)",graduate,eng
"[0,10)",grade<=11,eng
"[0,10)",grade<=11,eng
"[0,10)",grade<=11,eng
"[20,30)",C<=3,eng
"[10,20)",HSG,eng
"[30,50)",HSG,eng
"[50,75)",C<=3,eng
"[0,10)",grade<=11,eng
"[10,20)",HSG,eng
"[0,10)",grade<=11,eng
"[30,50)",C<=3,eng
"[0,10)",grade<=11,eng
"[30,50)",HSG,eng
"[20,30)",C<=3,eng
"[0,10)",grade<=11,eng
"[0,10)",grade<=11,eng
"[30,50)",C<=3,eng
"[30,50)",C<=3,eng
"[30,50)",CG,eng
"[30,50)",C<=3,eng
"[30,50)",graduate,span
"[30,50)",C<=3,eng
"[0,10)",grade<=11,eng
"[20,30)",C<=3,eng
"[30,50)",HSG,eng
"[50,75)",HSG,eng
"[50,75)",C<=3,eng
"[0,10)",grade<=11,eng
"[30,50)",C<=3,eng
"[30,50)",HSG,eng
"[30,50)",C<=3,eng
"[30,50)",C<=3,eng
"[30,50)",C<=3,eng
75+,graduate,eng
"[50,75)",grade<=11,eng
"[20,30)",HSG,eng
"[30,50)",C<=3,eng
"[20,30)",C<=3,eng
"[0,10)",grade<=11,eng
"[30,50)",HSG,eng
"[0,10)",grade<=11,eng
"[20,30)",C<=3,eng
"[0,10)",HSG,eng
"[30,50)",HSG,eng
"[10,20)",CG,eng
"[20,30)",C<=3,eng
"[20,30)",HSG,eng
"[0,10)",grade<=11,eng
"[20,30)",C<=3,eng
"[0,10)",C<=3,eng
"[0,10)",HSG,eng
75+,C<=3,eng
"[10,20)",HSG,eng
"[50,75)",HSG,eng
"[50,75)",C<=3,eng
"[50,75)",C<=3,eng
"[50,75)",HSG,eng
"[0,10)",C<=3,eng
"[50,75)",C<=3,eng
"[0,10)",HSG,eng
75+,graduate,eng
"[30,50)",C<=3,eng
"[10,20)",C<=3,eng
"[30,50)",graduate,eng
"[50,75)",CG,eng
"[20,30)",C<=3,eng
"[10,20)",C<=3,eng
"[20,30)",C<=3,eng
"[0,10)",HSG,eng
"[0,10)",C<=3,eng
"[30,50)",C<=3,eng
"[30,50)",graduate,eng
"[20,30)",C<=3,eng
"[20,30)",grade<=11,eng
"[30,50)",graduate,eng
"[30,50)",C<=3,eng
"[20,30)",C<=3,eng
"[0,10)",grade<=11,eng
"[50,75)",graduate,eng
"[30,50)",C<=3,eng
"[20,30)",C<=3,eng
"[10,20)",HSG,eng
"[20,30)",HSG,eng
"[10,20)",HSG,eng
"[0,10)",HSG,eng
"[50,75)",C<=3,eng
"[10,20)",C<=3,eng
75+,HSG,eng
"[30,50)",C<=3,eng
"[0,10)",grade<=11,eng
"[50,75)",C<=3,eng
"[30,50)",graduate,eng
"[30,50)",C<=3,eng
"[30,50)",C<=3,eng
"[10,20)",CG,eng
"[20,30)",HSG,eng
"[0,10)",HSG,eng
"[30,50)",HSG,eng
"[10,20)",C<=3,eng
"[10,20)",CG,eng
"[0,10)",HSG,eng
"[0,10)",HSG,eng
"[0,10)",grade<=11,eng
"[30,50)",C<=3,eng
"[10,20)",C<=3,eng
"[20,30)",HSG,eng
"[10,20)",HSG,eng
"[10,20)",HSG,eng
"[10,20)",HSG,eng
"[30,50)",C<=3,eng
"[50,75)",C<=3,eng
"[10,20)",C<=3,eng
"[50,75)",C<=3,eng
"[0,10)",grade<=11,eng
"[0,10)",grade<=11,eng
"[20,30)",HSG,eng
75+,CG,eng
"[20,30)",C<=3,eng
"[0,10)",C<=3,eng
"[20,30)",C<=3,eng
"[0,10)",HSG,span
"[10,20)",C<=3,eng
"[20,30)",grade<=11,eng
"[10,20)",HSG,eng
"[50,75)",C<=3,eng
"[0,10)",grade<=11,eng
"[10,20)",grade<=11,eng
"[10,20)",graduate,eng
"[30,50)",grade<=11,eng
"[0,10)",HSG,eng
"[10,20)",grade<=11,eng
"[0,10)",grade<=11,eng
"[50,75)",C<=3,eng
"[10,20)",HSG,eng
"[10,20)",C<=3,span
"[20,30)",HSG,eng
"[0,10)",grade<=11,eng
"[20,30)",C<=3,eng
"[10,20)",C<=3,eng
"[10,20)",HSG,eng
"[30,50)",C<=3,eng
"[0,10)",grade<=11,span
"[10,20)",HSG,eng
"[0,10)",grade<=11,other
"[50,75)",HSG,other
75+,graduate,other
"[50,75)",CG,eng
"[0,10)",grade<=11,eng
"[0,10)",grade<=11,eng
"[30,50)",CG,eng
"[0,10)",grade<=11,eng
"[0,10)",grade<=11,eng
"[10,20)",grade<=11,eng
"[10,20)",grade<=11,eng
"[0,10)",grade<=11,eng
"[30,50)",HSG,eng
"[30,50)",CG,eng
"[10,20)",C<=3,other
"[30,50)",C<=3,eng
"[30,50)",C<=3,eng
"[50,75)",C<=3,eng
"[30,50)",CG,eng
"[30,50)",C<=3,eng
"[0,10)",HSG,eng
"[50,75)",C<=3,eng
"[30,50)",CG,eng
"[0,10)",HSG,eng
"[50,75)",C<=3,eng
"[0,10)",grade<=11,eng
"[0,10)",HSG,eng
"[0,10)",C<=3,eng
"[20,30)",HSG,eng
"[50,75)",HSG,eng
"[20,30)",HSG,eng
"[10,20)",C<=3,eng
"[20,30)",C<=3,eng
"[10,20)",HSG,eng
"[20,30)",HSG,eng
"[30,50)",HSG,eng
"[0,10)",grade<=11,eng
"[0,10)",grade<=11,eng
"[10,20)",HSG,eng
"[0,10)",grade<=11,eng
"[20,30)",HSG,eng
"[30,50)",CG,eng
"[30,50)",grade<=11,eng
"[10,20)",C<=3,eng
"[30,50)",CG,eng
"[10,20)",C<=3,eng
75+,C<=3,eng
"[0,10)",C<=3,eng
"[30,50)",HSG,eng
"[10,20)",HSG,eng
"[20,30)",C<=3,eng
"[10,20)",HSG,eng
"[20,30)",C<=3,eng
"[20,30)",HSG,eng
"[10,20)",HSG,eng
"[20,30)",HSG,eng
"[10,20)",C<=3,eng
"[0,10)",grade<=11,eng
"[0,10)",grade<=11,eng
"[0,10)",grade<=11,eng
"[0,10)",C<=3,eng
"[30,50)",CG,eng
"[0,10)",grade<=11,eng
"[20,30)",HSG,eng
"[10,20)",HSG,eng
"[10,20)",C<=3,eng
"[0,10)",grade<=11,eng
"[0,10)",grade<=11,eng
"[0,10)",HSG,eng
"[10,20)",HSG,span
"[0,10)",grade<=11,eng
"[0,10)",grade<=11,span
"[0,10)",grade<=11,eng
"[0,10)",grade<=11,eng
"[30,50)",C<=3,span
"[30,50)",C<=3,eng
"[0,10)",grade<=11,eng
"[0,10)",C<=3,eng
"[0,10)",grade<=11,eng
"[30,50)",CG,eng
"[20,30)",graduate,eng
"[30,50)",C<=3,eng
"[20,30)",C<=3,other
"[10,20)",HSG,eng
"[30,50)",C<=3,eng
"[30,50)",grade<=11,eng
"[20,30)",C<=3,eng
"[0,10)",grade<=11,eng
"[10,20)",C<=3,eng
"[10,20)",grade<=11,eng
"[30,50)",CG,eng
"[10,20)",grade<=11,eng
"[20,30)",grade<=11,eng
"[0,10)",grade<=11,eng
"[20,30)",C<=3,eng
"[20,30)",C<=3,eng
"[30,50)",HSG,eng
"[30,50)",HSG,eng
"[30,50)",CG,eng
"[10,20)",HSG,eng
"[20,30)",C<=3,eng
"[20,30)",HSG,eng
"[10,20)",C<=3,eng
"[20,30)",grade<=11,eng
"[10,20)",C<=3,eng
"[30,50)",C<=3,eng
"[30,50)",HSG,eng
"[30,50)",grade<=11,eng
"[10,20)",HSG,eng
"[10,20)",HSG,eng
"[0,10)",HSG,eng
"[10,20)",HSG,eng
"[0,10)",grade<=11,eng
"[10,20)",C<=3,eng
"[0,10)",HSG,eng
"[10,20)",C<=3,eng
"[50,75)",HSG,span
"[0,10)",grade<=11,eng
"[0,10)",HSG,eng
"[0,10)",CG,eng
"[50,75)",C<=3,eng
75+,HSG,other
"[0,10)",graduate,eng
"[30,50)",CG,eng
"[10,20)",C<=3,eng
"[0,10)",HSG,eng
"[10,20)",CG,eng
"[20,30)",CG,eng
"[20,30)",C<=3,eng
"[10,20)",HSG,eng
"[0,10)",CG,eng
"[10,20)",C<=3,eng
"[0,10)",HSG,eng
"[0,10)",C<=3,eng
"[0,10)",grade<=11,eng
"[30,50)",grade<=11,eng
"[0,10)",C<=3,eng
"[0,10)",HSG,eng
"[0,10)",grade<=11,eng
"[0,10)",grade<=11,eng
"[10,20)",C<=3,eng
"[0,10)",C<=3,eng
"[0,10)",C<=3,eng
"[20,30)",C<=3,eng
"[0,10)",grade<=11,eng
"[10,20)",C<=3,eng
"[0,10)",C<=3,eng
"[10,20)",graduate,eng
"[0,10)",grade<=11,eng
"[20,30)",graduate,eng
"[0,10)",HSG,eng
"[10,20)",graduate,eng
"[0,10)",grade<=11,eng
75+,CG,span
"[0,10)",grade<=11,eng
"[50,75)",HSG,span
"[50,75)",C<=3,eng
"[50,75)",graduate,eng
"[20,30)",C<=3,eng
"[0,10)",grade<=11,span
"[20,30)",HSG,span
"[20,30)",HSG,span
"[20,30)",graduate,span
"[0,10)",grade<=11,eng
"[30,50)",CG,eng
"[0,10)",grade<=11,eng
"[20,30)",CG,eng
"[30,50)",graduate,eng
"[30,50)",C<=3,eng
"[30,50)",C<=3,eng
"[0,10)",C<=3,eng
"[20,30)",C<=3,eng
"[0,10)",grade<=11,other
"[20,30)",grade<=11,eng
"[0,10)",grade<=11,other
"[0,10)",grade<=11,other
"[0,10)",grade<=11,eng
"[10,20)",HSG,eng
"[0,10)",grade<=11,eng
"[30,50)",CG,eng
"[50,75)",C<=3,eng
"[0,10)",grade<=11,eng
"[0,10)",grade<=11,eng
"[0,10)",grade<=11,eng
"[50,75)",C<=3,eng
"[50,75)",graduate,eng
75+,HSG,eng
"[50,75)",graduate,eng
75+,graduate,eng
75+,graduate,eng
"[50,75)",graduate,eng
"[0,10)",grade<=11,eng
75+,grade<=11,other
"[50,75)",grade<=11,eng
"[0,10)",grade<=11,eng
"[0,10)",grade<=11,eng
"[0,10)",grade<=11,eng
"[0,10)",grade<=11,eng
75+,grade<=11,other
"[0,10)",grade<=11,eng
75+,CG,eng
"[50,75)",HSG,eng
75+,graduate,eng
"[50,75)",graduate,eng
75+,graduate,other
75+,HSG,eng
"[30,50)",C<=3,eng
"[50,75)",graduate,eng
75+,graduate,eng
"[50,75)",graduate,eng
"[50,75)",C<=3,eng
75+,CG,eng
75+,C<=3,eng
75+,graduate,eng
75+,graduate,eng
"[50,75)",C<=3,eng
"[50,75)",grade<=11,eng
"[50,75)",C<=3,eng
75+,C<=3,eng
"[50,75)",HSG,other
75+,C<=3,eng
"[50,75)",C<=3,eng
75+,C<=3,eng
"[30,50)",C<=3,eng
"[30,50)",graduate,eng
"[30,50)",grade<=11,eng
"[30,50)",C<=3,eng
"[30,50)",HSG,other
"[0,10)",HSG,eng
"[20,30)",C<=3,eng
"[30,50)",C<=3,eng
"[0,10)",C<=3,eng
"[10,20)",C<=3,eng
"[0,10)",grade<=11,other
"[10,20)",HSG,eng
"[0,10)",HSG,other
"[20,30)",C<=3,eng
"[30,50)",HSG,eng
"[0,10)",C<=3,eng
"[10,20)",graduate,eng
"[0,10)",C<=3,eng
"[10,20)",HSG,eng
"[0,10)",CG,eng
"[10,20)",C<=3,other
"[10,20)",C<=3,eng
"[20,30)",C<=3,eng
"[30,50)",HSG,eng
"[0,10)",HSG,eng
"[0,10)",C<=3,eng
"[30,50)",HSG,eng
"[0,10)",C<=3,eng
"[30,50)",CG,eng
"[10,20)",C<=3,eng
"[10,20)",C<=3,eng
"[20,30)",graduate,eng
"[30,50)",graduate,eng
"[0,10)",HSG,eng
"[0,10)",C<=3,eng
"[30,50)",C<=3,eng
"[30,50)",CG,eng
"[30,50)",C<=3,eng
"[20,30)",C<=3,eng
"[30,50)",HSG,eng
"[30,50)",CG,eng
"[30,50)",HSG,eng
"[0,10)",grade<=11,other
"[0,10)",grade<=11,eng
75+,CG,eng
"[50,75)",C<=3,eng
75+,C<=3,eng
75+,graduate,eng
"[0,10)",grade<=11,eng
"[0,10)",grade<=11,eng
"[30,50)",grade<=11,eng
"[0,10)",grade<=11,eng
"[0,10)",grade<=11,eng
"[0,10)",grade<=11,eng
"[0,10)",HSG,eng
"[20,30)",C<=3,eng
"[0,10)",C<=3,eng
"[0,10)",C<=3,eng
"[0,10)",CG,eng
"[30,50)",graduate,eng
"[30,50)",CG,eng
"[10,20)",C<=3,span
"[10,20)",C<=3,eng
"[30,50)",HSG,eng
"[30,50)",C<=3,eng
"[30,50)",CG,eng
"[20,30)",C<=3,eng
"[30,50)",graduate,eng
"[10,20)",C<=3,eng
"[20,30)",CG,eng
"[30,50)",HSG,eng
"[10,20)",C<=3,eng
"[30,50)",CG,eng
"[30,50)",HSG,span
75+,graduate,eng
"[20,30)",C<=3,eng
"[50,75)",graduate,eng
"[50,75)",CG,eng
"[50,75)",graduate,eng
75+,C<=3,eng
"[50,75)",CG,eng
75+,C<=3,eng
"[50,75)",graduate,other
75+,graduate,eng
75+,graduate,eng
75+,C<=3,eng
"[50,75)",CG,eng
"[50,75)",C<=3,eng
"[50,75)",CG,eng
"[50,75)",graduate,eng
"[50,75)",CG,eng
75+,CG,eng
"[50,75)",graduate,eng
75+,CG,eng
"[50,75)",C<=3,eng
75+,graduate,eng
"[30,50)",CG,eng
"[20,30)",C<=3,eng
"[30,50)",CG,other
"[30,50)",C<=3,eng
"[20,30)",HSG,eng
"[10,20)",grade<=11,eng
"[30,50)",graduate,other
"[30,50)",CG,eng
"[30,50)",HSG,eng
"[0,10)",C<=3,eng
"[30,50)",graduate,eng
"[20,30)",CG,eng
"[10,20)",HSG,eng
"[50,75)",C<=3,eng
"[50,75)",graduate,eng
75+,CG,eng
"[50,75)",C<=3,eng
"[50,75)",graduate,eng
"[20,30)",CG,eng
75+,C<=3,eng
75+,graduate,eng
"[50,75)",C<=3,eng
"[50,75)",graduate,eng
75+,CG,eng
"[50,75)",C<=3,eng
"[50,75)",C<=3,eng
"[50,75)",graduate,eng
75+,C<=3,eng
75+,C<=3,eng
"[50,75)",HSG,eng
"[50,75)",HSG,eng
75+,C<=3,eng
"[50,75)",graduate,eng
75+,graduate,eng
75+,CG,eng
75+,graduate,eng
"[20,30)",CG,eng
"[30,50)",HSG,eng
"[30,50)",CG,eng
"[30,50)",HSG,eng
"[10,20)",HSG,eng
"[20,30)",HSG,eng
"[30,50)",C<=3,eng
"[30,50)",C<=3,eng
"[30,50)",CG,eng
"[30,50)",CG,eng
"[30,50)",C<=3,eng
"[30,50)",HSG,eng
"[0,10)",HSG,eng
"[10,20)",C<=3,eng
"[10,20)",CG,eng
"[30,50)",C<=3,eng
"[30,50)",HSG,eng
"[30,50)",C<=3,eng
"[30,50)",HSG,eng
"[20,30)",HSG,eng
"[10,20)",C<=3,eng
"[30,50)",C<=3,eng
"[30,50)",C<=3,eng
"[30,50)",C<=3,eng
"[30,50)",graduate,eng
"[10,20)",HSG,eng
"[30,50)",C<=3,eng
"[10,20)",graduate,eng
"[10,20)",C<=3,eng
"[0,10)",HSG,eng
"[30,50)",C<=3,eng
"[10,20)",C<=3,eng
"[10,20)",C<=3,eng
"[20,30)",C<=3,eng
"[20,30)",CG,eng
"[10,20)",C<=3,eng
"[0,10)",graduate,eng
"[30,50)",C<=3,eng
"[30,50)",C<=3,eng
"[30,50)",C<=3,eng
"[30,50)",CG,eng
"[30,50)",CG,eng
"[20,30)",HSG,eng
"[10,20)",C<=3,eng
"[30,50)",C<=3,eng
"[20,30)",HSG,eng
"[20,30)",HSG,eng
"[30,50)",CG,eng
"[10,20)",HSG,eng
"[30,50)",HSG,eng
"[10,20)",C<=3,eng
"[20,30)",CG,eng
"[20,30)",HSG,eng
"[20,30)",CG,eng
"[30,50)",C<=3,eng
"[20,30)",C<=3,eng
"[20,30)",CG,eng
"[50,75)",C<=3,eng
75+,CG,eng
75+,C<=3,eng
75+,CG,eng
75+,C<=3,eng
"[50,75)",C<=3,eng
"[50,75)",CG,eng
75+,HSG,eng
"[50,75)",C<=3,eng
"[50,75)",C<=3,eng
75+,C<=3,eng
"[50,75)",grade<=11,eng
75+,CG,eng
75+,C<=3,eng
75+,CG,eng
"[50,75)",HSG,eng
"[50,75)",graduate,eng
75+,C<=3,eng
75+,graduate,eng
"[50,75)",CG,other
75+,CG,eng
"[50,75)",C<=3,eng
"[50,75)",CG,eng
"[30,50)",C<=3,other
"[10,20)",C<=3,eng
"[30,50)",graduate,eng
"[30,50)",C<=3,eng
"[0,10)",C<=3,eng
"[30,50)",C<=3,eng
"[30,50)",HSG,eng
"[30,50)",grade<=11,eng
"[30,50)",C<=3,eng
75+,CG,eng
"[10,20)",C<=3,span
"[20,30)",grade<=11,span
"[30,50)",C<=3,eng
"[20,30)",C<=3,eng
"[30,50)",graduate,eng
75+,CG,eng
"[30,50)",HSG,eng
"[20,30)",C<=3,eng
"[30,50)",CG,eng
"[30,50)",C<=3,eng
"[30,50)",C<=3,eng
"[50,75)",CG,eng
75+,C<=3,eng
75+,C<=3,eng
"[0,10)",C<=3,eng
"[20,30)",CG,eng
75+,CG,eng
"[50,75)",graduate,eng
"[30,50)",CG,eng
75+,CG,eng
"[50,75)",C<=3,eng
"[30,50)",C<=3,eng
"[30,50)",C<=3,eng
75+,graduate,eng
75+,HSG,eng
"[0,10)",C<=3,eng
"[20,30)",C<=3,eng
75+,CG,eng
"[50,75)",graduate,eng
"[20,30)",C<=3,eng
"[20,30)",C<=3,eng
"[50,75)",graduate,eng
"[20,30)",HSG,eng
"[20,30)",CG,eng
"[10,20)",CG,eng
"[30,50)",HSG,eng
"[50,75)",CG,eng
"[50,75)",C<=3,eng
"[50,75)",CG,eng
"[30,50)",graduate,eng
"[30,50)",C<=3,eng
"[50,75)",graduate,eng
75+,CG,eng
"[50,75)",graduate,eng
"[30,50)",C<=3,eng
"[20,30)",C<=3,eng
"[0,10)",C<=3,eng
"[30,50)",CG,eng
